knr2017,kommune,aar,utmarea,tamrein,villrein,antrein,LANDKAT,ALTREG,reg,Malekg,Femalekg,Chkg,Metmale,Metfemale,Metch,SumVillrein,Villsommer,Villaar,Maleperw,Femaleperw,Chperw,Beitedager,Maleandelw,Femaleandw,Chandelw,Maleandxmet,Femandmet,Chandmet,Maleandxbdg,Feandxbdg,Chandxbdg,sumvillrein,TOTBAR
619,Ål,1949,1056.21,503.2152019,172.7484605,675.9636625,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,172.75,215.9355757,187.1441656,25,50,25,365,46.7860414,93.57208279,46.7860414,1479.504535,2092.433712,812.8785919,540019.1553,763738.3049,296700.6861,1600458.146,1515.284031
620,Hol,1949,1672.39,1817.278908,1689.732306,3507.011214,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,1689.73,2112.165383,1830.543332,25,50,25,365,457.6358329,915.2716658,457.6358329,14471.71571,20467.05846,7951.140134,5282176.233,7470476.339,2902166.149,15654818.72,9360.74643
621,Sigdal,1949,779.61,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
622,Krødsherad,1949,332.05,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
623,Modum,1949,409.5,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
624,Øvre Eiker,1949,369.09,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
625,Nedre Eiker,1949,103.57,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
626,Lier,1949,243.58,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
627,Røyken,1949,94.22,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
628,Hurum,1949,143.13,0,0,0,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,0.00,0,0,25,50,25,365,0,0,0,0,0,0,0,0,0,0,0
631,Flesberg,1949,526.59,0,5.548406357,5.548406357,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,5.55,6.935507946,6.010773553,25,50,25,365,1.502693388,3.005386777,1.502693388,47.51933732,67.20564961,26.10837013,17344.55812,24530.06211,9529.555097,51404.17533,97.61707462
632,Rollag,1949,419.8,0,359.9160439,359.9160439,SENorway,inlandlow,2,100,63,45,31.6227766,22.36173065,17.37438278,359.92,449.8950549,389.9090476,25,50,25,365,97.4772619,194.9545238,97.4772619,3082.501677,4359.520551,1693.60726,1125113.112,1591225.001,618166.6501,3334504.763,7943.079474
633,Nore og Uvdal,1949,2260.74,1379.50589,1914.427959,3293.933849,SENorway,mountain,3,100,63,45,31.6227766,22.36173065,17.37438278,1914.43,2393.034949,2073.963622,25,50,25,365,518.4909056,1036.981811,518.4909056,16396.12208,23188.70795,9008.459461,5984584.558,8463878.403,3288087.703,17736550.66,7845.462399
